X,Y,Z
-2.000000,0.000000,0.099478
-1.750000,0.000000,0.099478
-1.500000,0.000000,0.099478
-1.250000,0.000000,0.099478
-1.000000,0.000000,0.099478
-0.750000,0.000000,0.099478
-0.500000,0.000000,0.099478
-0.250000,0.000000,0.099478
0.000000,0.000000,0.099478
0.250000,0.000000,0.099478
0.500000,0.000000,0.099478
0.750000,0.000000,0.099478
1.000000,0.000000,0.099478
1.250000,0.000000,0.099478
1.500000,0.000000,0.099478
1.750000,0.000000,0.099478
2.000000,0.000000,0.099478
2.250000,0.000000,0.099478
2.500000,0.000000,0.099537
2.750000,0.000000,0.110777
3.000000,0.000000,0.138027
3.250000,0.000000,0.176303
3.500000,0.000000,0.220622
3.750000,0.000000,0.266002
4.000000,0.000000,0.307459
4.250000,0.000000,0.340012
4.500000,0.000000,0.358675
4.750000,0.000000,0.361242
5.000000,0.000000,0.351391
5.250000,0.000000,0.325160
5.500000,0.000000,0.287533
5.750000,0.000000,0.243491
6.000000,0.000000,0.198018
6.250000,0.000000,0.156098
6.500000,0.000000,0.122712
6.750000,0.000000,0.102844
7.000000,0.000000,0.099478
7.250000,0.000000,0.099642
7.500000,0.000000,0.104731
7.750000,0.000000,0.116280
8.000000,0.000000,0.133384
8.250000,0.000000,0.155139
8.500000,0.000000,0.180642
8.750000,0.000000,0.208988
9.000000,0.000000,0.239273
9.250000,0.000000,0.270594
9.500000,0.000000,0.302046
9.750000,0.000000,0.332726
10.000000,0.000000,0.361730
10.250000,0.000000,0.388153
10.500000,0.000000,0.411092
10.750000,0.000000,0.429643
11.000000,0.000000,0.442902
11.250000,0.000000,0.449964
11.500000,0.000000,0.450889
11.750000,0.000000,0.447264
12.000000,0.000000,0.436990
12.250000,0.000000,0.420973
12.500000,0.000000,0.400115
12.750000,0.000000,0.375321
13.000000,0.000000,0.347494
13.250000,0.000000,0.317539
13.500000,0.000000,0.286360
13.750000,0.000000,0.254861
14.000000,0.000000,0.223944
14.250000,0.000000,0.195105
14.500000,0.000000,0.175600
14.750000,0.000000,0.166524
15.000000,0.000000,0.166858
15.250000,0.000000,0.175620
15.500000,0.000000,0.191866
15.750000,0.000000,0.214344
16.000000,0.000000,0.236474
16.250000,0.000000,0.254567
16.500000,0.000000,0.266777
16.750000,0.000000,0.271256
17.000000,0.000000,0.270098
17.250000,0.000000,0.261523
17.500000,0.000000,0.246141
17.750000,0.000000,0.225798
18.000000,0.000000,0.202341
18.250000,0.000000,0.177615
18.500000,0.000000,0.153466
18.750000,0.000000,0.131739
19.000000,0.000000,0.114281
19.250000,0.000000,0.102937
19.500000,0.000000,0.099478
19.750000,0.000000,0.099478
20.000000,0.000000,0.100949
20.250000,0.000000,0.125360
20.500000,0.000000,0.172953
20.750000,0.000000,0.234821
21.000000,0.000000,0.302056
21.250000,0.000000,0.365752
21.500000,0.000000,0.416999
21.750000,0.000000,0.446891
22.000000,0.000000,0.446891
22.250000,0.000000,0.416999
22.500000,0.000000,0.365752
22.750000,0.000000,0.302056
23.000000,0.000000,0.234821
23.250000,0.000000,0.171945
23.500000,0.000000,0.120994
23.750000,0.000000,0.093906
24.000000,0.000000,0.101679
24.250000,0.000000,0.120530
24.500000,0.000000,0.145009
24.750000,0.000000,0.171132
25.000000,0.000000,0.194901
25.250000,0.000000,0.212293
25.500000,0.000000,0.219247
25.750000,0.000000,0.211674
26.000000,0.000000,0.193079
26.250000,0.000000,0.160497
26.500000,0.000000,0.115991
26.750000,0.000000,0.064013
27.000000,0.000000,0.009018
27.250000,0.000000,-0.044558
27.500000,0.000000,-0.092314
27.750000,0.000000,-0.129888
28.000000,0.000000,-0.152940
28.250000,0.000000,-0.161773
28.500000,0.000000,-0.161425
28.750000,0.000000,-0.152428
29.000000,0.000000,-0.135274
29.250000,0.000000,-0.110451
29.500000,0.000000,-0.078443
29.750000,0.000000,-0.039730
30.000000,0.000000,0.005145
30.250000,0.000000,0.055385
30.500000,0.000000,0.110122
30.750000,0.000000,0.168483
31.000000,0.000000,0.229590
31.250000,0.000000,0.292557
31.500000,0.000000,0.356497
31.750000,0.000000,0.420515
32.000000,0.000000,0.483714
32.250000,0.000000,0.545193
32.500000,0.000000,0.604050
32.750000,0.000000,0.659384
33.000000,0.000000,0.710292
33.250000,0.000000,0.755875
33.500000,0.000000,0.795234
33.750000,0.000000,0.827476
34.000000,0.000000,0.851712
34.250000,0.000000,0.868143
34.500000,0.000000,0.878503
34.750000,0.000000,0.879975
35.000000,0.000000,0.873092
35.250000,0.000000,0.858382
35.500000,0.000000,0.836375
35.750000,0.000000,0.807594
36.000000,0.000000,0.772559
36.250000,0.000000,0.731785
36.500000,0.000000,0.685790
36.750000,0.000000,0.636556
37.000000,0.000000,0.585773
37.250000,0.000000,0.534136
37.500000,0.000000,0.482338
37.750000,0.000000,0.431073
38.000000,0.000000,0.381034
38.250000,0.000000,0.332916
38.500000,0.000000,0.287412
38.750000,0.000000,0.245216
39.000000,0.000000,0.207022
39.250000,0.000000,0.173523
39.500000,0.000000,0.145414
39.750000,0.000000,0.123387
40.000000,0.000000,0.108137
40.250000,0.000000,0.100357
40.500000,0.000000,0.099478
40.750000,0.000000,0.099478
41.000000,0.000000,0.099478
41.250000,0.000000,0.099478
41.500000,0.000000,0.099478
41.750000,0.000000,0.099478
42.000000,0.000000,0.099478
42.250000,0.000000,0.099478
42.500000,0.000000,0.099478
42.750000,0.000000,0.099478
43.000000,0.000000,0.099478
43.250000,0.000000,0.099478
43.500000,0.000000,0.099478
43.750000,0.000000,0.099478
44.000000,0.000000,0.099478
44.250000,0.000000,0.099478
44.500000,0.000000,0.099478
44.750000,0.000000,0.099478
45.000000,0.000000,0.099478
45.250000,0.000000,0.099478
45.500000,0.000000,0.099478
45.750000,0.000000,0.099478
46.000000,0.000000,0.099478
46.250000,0.000000,0.099478
46.500000,0.000000,0.099478
46.750000,0.000000,0.099478
47.000000,0.000000,0.099478
47.250000,0.000000,0.099478
47.500000,0.000000,0.099478
47.750000,0.000000,0.099478
48.000000,0.000000,0.099478
48.250000,0.000000,0.099478
48.500000,0.000000,0.099478
48.750000,0.000000,0.099478
49.000000,0.000000,0.099478
49.250000,0.000000,0.099478
49.500000,0.000000,0.099478
49.750000,0.000000,0.099478
50.000000,0.000000,0.099478
50.250000,0.000000,0.099478
50.500000,0.000000,0.099478
50.750000,0.000000,0.099478
51.000000,0.000000,0.099478
51.250000,0.000000,0.099478
51.500000,0.000000,0.099478
51.750000,0.000000,0.099478
52.000000,0.000000,0.099478
52.250000,0.000000,0.099478
52.500000,0.000000,0.099478
52.750000,0.000000,0.099478
53.000000,0.000000,0.099478
53.250000,0.000000,0.101071
53.500000,0.000000,0.127499
53.750000,0.000000,0.179028
54.000000,0.000000,0.246011
54.250000,0.000000,0.318806
54.500000,0.000000,0.387768
54.750000,0.000000,0.443253
55.000000,0.000000,0.475617
55.250000,0.000000,0.475617
55.500000,0.000000,0.445957
55.750000,0.000000,0.403001
56.000000,0.000000,0.355746
56.250000,0.000000,0.312299
56.500000,0.000000,0.280656
56.750000,0.000000,0.269025
57.000000,0.000000,0.285971
57.250000,0.000000,0.330313
57.500000,0.000000,0.377731
57.750000,0.000000,0.425500
58.000000,0.000000,0.472488
58.250000,0.000000,0.517561
58.500000,0.000000,0.559587
58.750000,0.000000,0.597433
59.000000,0.000000,0.629966
59.250000,0.000000,0.656053
59.500000,0.000000,0.674561
59.750000,0.000000,0.684358
60.000000,0.000000,0.685636
60.250000,0.000000,0.680620
60.500000,0.000000,0.666325
60.750000,0.000000,0.643886
61.000000,0.000000,0.614434
61.250000,0.000000,0.579103
61.500000,0.000000,0.539026
61.750000,0.000000,0.496219
62.000000,0.000000,0.469252
62.250000,0.000000,0.462643
62.500000,0.000000,0.472900
62.750000,0.000000,0.496433
63.000000,0.000000,0.529660
63.250000,0.000000,0.569090
63.500000,0.000000,0.611394
63.750000,0.000000,0.653451
64.000000,0.000000,0.692348
64.250000,0.000000,0.725351
64.500000,0.000000,0.749815
64.750000,0.000000,0.760998
65.000000,0.000000,0.749074
65.250000,0.000000,0.715977
65.500000,0.000000,0.665720
65.750000,0.000000,0.599662
66.000000,0.000000,0.517922
66.250000,0.000000,0.425231
66.500000,0.000000,0.326515
66.750000,0.000000,0.226751
67.000000,0.000000,0.130867
67.250000,0.000000,0.043679
67.500000,0.000000,-0.030140
67.750000,0.000000,-0.086039
68.000000,0.000000,-0.122063
68.250000,0.000000,-0.154269
68.500000,0.000000,-0.185773
68.750000,0.000000,-0.215942
69.000000,0.000000,-0.244143
69.250000,0.000000,-0.269742
69.500000,0.000000,-0.289556
69.750000,0.000000,-0.298666
70.000000,0.000000,-0.296910
70.250000,0.000000,-0.284198
70.500000,0.000000,-0.260420
70.750000,0.000000,-0.225666
71.000000,0.000000,-0.180901
71.250000,0.000000,-0.127336
71.500000,0.000000,-0.066206
71.750000,0.000000,0.001220
72.000000,0.000000,0.073650
72.250000,0.000000,0.149770
72.500000,0.000000,0.228248
72.750000,0.000000,0.307741
73.000000,0.000000,0.386903
73.250000,0.000000,0.464389
73.500000,0.000000,0.538864
73.750000,0.000000,0.609005
74.000000,0.000000,0.673510
74.250000,0.000000,0.731096
74.500000,0.000000,0.780501
74.750000,0.000000,0.820485
75.000000,0.000000,0.849822
75.250000,0.000000,0.867292
75.500000,0.000000,0.871698
75.750000,0.000000,0.864439
76.000000,0.000000,0.850227
76.250000,0.000000,0.829846
76.500000,0.000000,0.803931
76.750000,0.000000,0.773116
77.000000,0.000000,0.738033
77.250000,0.000000,0.699317
77.500000,0.000000,0.657602
77.750000,0.000000,0.613522
78.000000,0.000000,0.567710
78.250000,0.000000,0.520800
78.500000,0.000000,0.473427
78.750000,0.000000,0.426224
79.000000,0.000000,0.379824
79.250000,0.000000,0.334862
79.500000,0.000000,0.291971
79.750000,0.000000,0.251786
80.000000,0.000000,0.214940
80.250000,0.000000,0.182068
80.500000,0.000000,0.153802
80.750000,0.000000,0.130776
81.000000,0.000000,0.113626
81.250000,0.000000,0.102983
81.500000,0.000000,0.099478
81.750000,0.000000,0.099478
82.000000,0.000000,0.099478
82.250000,0.000000,0.099478
82.500000,0.000000,0.099478
82.750000,0.000000,0.099478
83.000000,0.000000,0.099478
83.250000,0.000000,0.099478
83.500000,0.000000,0.099478
83.750000,0.000000,0.099478
84.000000,0.000000,0.099478
84.250000,0.000000,0.099478
84.500000,0.000000,0.099478
84.750000,0.000000,0.099478
85.000000,0.000000,0.121512
85.250000,0.000000,0.169987
85.500000,0.000000,0.218461
85.750000,0.000000,0.240495
86.000000,0.000000,0.218461
86.250000,0.000000,0.169987
86.500000,0.000000,0.121512
86.750000,0.000000,0.144097
87.000000,0.000000,0.195876
87.250000,0.000000,0.234436
87.500000,0.000000,0.234436
87.750000,0.000000,0.195876
88.000000,0.000000,0.144097
88.250000,0.000000,0.121512
88.500000,0.000000,0.169987
88.750000,0.000000,0.218461
89.000000,0.000000,0.240495
89.250000,0.000000,0.218461
89.500000,0.000000,0.169987
89.750000,0.000000,0.121512
90.000000,0.000000,0.099478
90.250000,0.000000,0.099478
90.500000,0.000000,0.099478
90.750000,0.000000,0.099478
91.000000,0.000000,0.099478
91.250000,0.000000,0.099478
91.500000,0.000000,0.099478
91.750000,0.000000,0.099478
92.000000,0.000000,0.099478
92.250000,0.000000,0.099478
92.500000,0.000000,0.099478
92.750000,0.000000,0.099478
93.000000,0.000000,0.099478
93.250000,0.000000,0.099478
93.500000,0.000000,0.099478
93.750000,0.000000,0.099478
94.000000,0.000000,0.099478
94.250000,0.000000,0.099478
94.500000,0.000000,0.099478
94.750000,0.000000,0.099478
95.000000,0.000000,0.099478
95.250000,0.000000,0.099478
95.500000,0.000000,0.099478
95.750000,0.000000,0.099478
96.000000,0.000000,0.099478
96.250000,0.000000,0.099478
96.500000,0.000000,0.099478
96.750000,0.000000,0.099478
97.000000,0.000000,0.099478
97.250000,0.000000,0.099478
97.500000,0.000000,0.099478
97.750000,0.000000,0.099478
98.000000,0.000000,0.099478
98.250000,0.000000,0.099478
98.500000,0.000000,0.099478
98.750000,0.000000,0.099478
99.000000,0.000000,0.099478
99.250000,0.000000,0.099478
99.500000,0.000000,0.099478
99.750000,0.000000,0.099478
100.000000,0.000000,0.099478
100.250000,0.000000,0.099478
100.500000,0.000000,0.099478
100.750000,0.000000,0.099478
101.000000,0.000000,0.099478
101.250000,0.000000,0.099478
101.500000,0.000000,0.099478
101.750000,0.000000,0.099478
102.000000,0.000000,0.099478
